"","observation_id","species_id","scientific_name","year","month","latitude","longitude"
"34173",32695,517,"Systasea pulverulenta",2002,11,26.080978,-98.136004
"78154",79944,517,"Systasea pulverulenta",2014,6,26.266325,-98.53406
"78276",80046,517,"Systasea pulverulenta",2014,6,26.179819,-98.366518
"80344",81969,517,"Systasea pulverulenta",2013,6,26.06513,-98.150243
"80826",82457,517,"Systasea pulverulenta",2014,6,26.06513,-98.150243
"82949",84572,517,"Systasea pulverulenta",2014,6,26.179819,-98.366518
"90318",113678,517,"Systasea pulverulenta",2014,10,26.266325,-98.53406
"90651",114078,517,"Systasea pulverulenta",2014,10,26.179819,-98.366518
"91175",115051,517,"Systasea pulverulenta",2014,10,26.179819,-98.366518
"91373",115381,517,"Systasea pulverulenta",2014,11,26.266325,-98.53406
"91467",115853,517,"Systasea pulverulenta",2014,11,26.179819,-98.366518
"92782",120068,517,"Systasea pulverulenta",2015,3,26.06513,-98.150243
"92818",120143,517,"Systasea pulverulenta",2015,3,26.266325,-98.53406
"92848",120357,517,"Systasea pulverulenta",2015,3,26.179819,-98.366518
"92961",120817,517,"Systasea pulverulenta",2015,3,26.179819,-98.366518
"93344",121984,517,"Systasea pulverulenta",2015,4,26.179819,-98.366518
"95113",128502,517,"Systasea pulverulenta",2015,5,26.179819,-98.366518
"95891",130126,517,"Systasea pulverulenta",2015,5,26.179819,-98.366518
"101255",143524,517,"Systasea pulverulenta",2015,6,26.179819,-98.366518
"108563",175797,517,"Systasea pulverulenta",2016,2,26.06513,-98.150243
